ID,Level Description,Category,DisplayName,InternalName?,Summary,Full_Description,CTAButtonTitle,Action_Provider,CTAURL,DDMType,EvidenceBasisURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Applicable Wellness Levels (separated by comma),Applicable Pillar (pillar name separated by comma),Score,Maintenance Ref,Region,Postcode,Free_paid,retrocession,Frequency,Periodicity,Total Iterations,Topic,Ml-MOT Flag
119,Preventative care,Mind,Improve your memory,119,Practice brain training with daily exercises.,Improve your cognitive functioning with daily brain puzzles for the next month to help form a brain boosting habit.,Sign me up,Verywell,https://www.verywellmind.com/brain-exercises-to-strengthen-your-mind-2795039,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,,,,Free,,daily,1 month,28,,
120,Diagnostic,Mind,Book a trip away,120,Importance of taking holidays.,Holidays are not just for relaxing; they help us deal with stressors and improve our overall wellbeing. Can’t afford a holiday? You can get the same effect with a day trip!,Visit site,,https://www.halixia.com/ma/book-a-trip-away-120,Development,,60-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,3,,,,Free,,,,,,
122,Diagnostic,Mind,Book a trip away,122,Importance of taking holidays.,Holidays are not just for relaxing; they help us deal with stresses and improve our overall wellbeing. Can’t afford a holiday? You can get the same effect with a day trip!,Read,,https://www.halixia.com/ma/book-a-trip-away-122,Development,,0-59,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,3,,,,Free,,,,,,
124,Advanced brain & body fitness,Mind,How to be mind kind,124,Mindfulness and meditation tools for a healthier you.,Mindfulness and meditation tools can help you create life-changing habits to support your mental health. These tools will help you get through tough times and find joy in everyday life.,Read/Do,,https://www.halixia.com/ma/how-to-be-mind-kind-124,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Health,2,125,,,Free,,,,,"Mental Health,Mindfulness",Y
125,Advanced brain & body fitness,Mind,Practice mindfulness,125,Practice mindfulness daily.,Try a mindfulness program for a month and it could help you to establish this great practice for life.,Sign me up,NHS,https://www.nhs.uk/mental-health/self-help/tips-and-support/mindfulness/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Health,1,,,,Free,,daily,1 month,28,,
126,Preventative care,Mind,Fire safety,126,The importance of fire safety in the home.,"Read about the importance of fire safety in your home, to help keep you and your loved ones safe in the event of a fire and how to prevent one in the first place.",Visit site,,https://www.halixia.com/ma/fire-safety-126,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,127,,,Free,,,,,,
127,Preventative care,Mind,Regular safety check,127,Schedule fire safety checks.,Schedule regular fire safety checks to keep you and your loved ones safe. It’s a great habit to get into for peace of mind.,Sign me up,UK Fire Service,https://www.fireservice.co.uk/safety/home-fire-safety-check/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,,,,Free,,every 6 months,2 years,4,,
404,Basic Health,Body,How are you?,404,Get a free personalised health score.,"Complete this free health quiz which gives you a personalised score in around 10 minutes. It’ll help you better understand your physical health, offer personalised advice and simple tips for healthier living.",Do,NHS,https://www.nhs.uk/better-health/how-are-you-quiz/,Diagnostic,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,,,,Free,,,,,Disease Mgt,Y
486,Basic Health,Body,Getting healthcare,486,Get the right healthcare for your needs.,"Learn about when to seek help from which healthcare service, helping you get the right medical treatment whilst helping the NHS.",Read,,https://www.halixia.com/ma/getting-healthcare-486,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,,,,Free,,,,,"Disease Mgt,Health care",Y
1060,Basic Health,Body,Teeth brushing,1060,Learn about dental care.,"From how long to brush your teeth for, to the best techniques and products, learn about the best way to take care of your teeth.",Read,,https://www.halixia.com/ma/teeth-brushing-1060,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,1061,,,Free,,,,,,
1061,Basic Health,Body,Dental care tips,1061,Improve your dental care.,"Start practicing good dental care techniques daily, make a habit of taking care of your teeth.",Sign up,Oral-B,https://www.oralb.co.uk/en-gb/oral-health/why-oral-b/electric-toothbrushes/how-to-brush-teeth-properly,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,,,,Free,,daily,1 month,28,,
1149,Basic Health,Body,Look after your eyes,1149,Learn about looking after your eyes.,"By taking care of our eyes, we make sure we look after the precious sense of sight and maintain a good quality of life.",Read,,https://www.halixia.com/ma/look-after-your-eyes-1149,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Health,1,1150,,,Free,,,,,,
1150,Basic Health,Body,Tips on eyecare,1150,Tips on taking care of your eyesight.,Make sure you make a healthy habit of looking after your eyes to help maintain your eyesight.,Sign me up,NHS,https://www.moorfields.nhs.uk/content/ten-steps-healthy-eyes,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Health,1,,,,Free,,weekly,6 months,24,,
1151,Basic Health,Body,Care for hearing,1151,Importance of hearing care.,"Looking after your hearing improves communication, cognitive function, safety, enjoyment of sounds, emotional wellbeing, and prevents hearing loss.",Read,,https://www.halixia.com/ma/care-for-hearing-1151,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",1,Health,2,1152,,,Free,,,,,,
135,Preventative care,Nutrition,Mediterranean diet,135,Understand the health benefits of a Mediterranean diet.,"Traditionally, the Mediterranean diet is based on fruits, vegetables, seafood, nuts, dairy, olive oil, and maybe a glass of red wine. It is linked to lower outbreaks of disease and longer lifespans.",Read,,https://www.halixia.com/ma/mediterranean-diet-135,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,136,,,Free,,,,,Nutrition,Y
136,Preventative care,Nutrition,Get on a Med diet,136,Introduce a Mediterranean flavour to your diet.,"Follow a Mediterranean diet for three months to make it a healthy eating habit. It will help support brain function, promote heart health, regulate blood sugar levels, and much more.",Sign me up,Healthline,https://www.healthline.com/nutrition/mediterranean-diet-meal-plan,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,,,,Free,,daily,2 months,56,,
137,Basic Health,Exercise,Start exercising,137,A simple workout series will help begin your fitness journey.,Start your exercise journey with one of these easy-to-follow exercise series designed for beginners.,Do,,https://www.halixia.com/ma/start-exercising-137,Development,,0-59,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,2,138,,,Free,,,,,"Physical Fitness,Get Active",Y
138,Basic Health,Exercise,Keep exercising,138,Sign-up to start your exercise journey.,Keep up with this simple workout series to continue your fitness journey. Aim to do three workouts a week for a month and you'll feel better and make regular exercise a habit.,Sign me up,The Body Coach,https://www.youtube.com/channel/UCAxW1XT0iEJo0TYlRfn6rYQ,Maintenance,,0-59,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,,,,Free,,3 times a week,2 months,24,,
139,Basic Health,Exercise,Get active,139,"Help to get you moving and stay moving, whatever your age.","However you're feeling right now and whatever challenges you’re facing, moving more will help you feel better for longer.",Read,,https://www.halixia.com/ma/get-active-139,Development,,60-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,2,140,,,Free,,,,,,
140,Basic Health,Exercise,Staying active,140,Keep moving throughout your life.,Find an activity that works best for you and aim to do three workouts every week to help you to stay fit and healthy and build a great habit.,Sign me up,Age UK,https://www.ageuk.org.uk/information-advice/health-wellbeing/exercise/,Maintenance,,60-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,,,,Free,,3 times a week,2 months,24,,
141,Basic Health,Exercise,Stay active,141,"Help to keep you moving, whatever your age.","However you're feeling right now, and whatever you're dealing with, these sites can help you get moving more so you'll feel better for longer.",Read,,https://www.halixia.com/ma/stay-active-141,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,2,142,,,Free,,,,,"Physical Fitness,Get Active",Y
142,Basic Health,Exercise,Staying active,142,Maintaining your fitness through life.,"Sign up to stay fit, try to do three workouts every week to help you to stay fit and healthy.",Sign me up,PureGym,https://www.puregym.com/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,,,,Paid,,3 times a week,2 months,24,,
143,Preventative care,Exercise,Get into yoga,143,Read about the benefits of yoga for the over 50s.,"Read about how starting yoga later in life requires adjustments and the practice itself changes as we age, but for the better! Yoga after 50 is a time for moving inward, and that’s a positive thing.",Read,,https://www.halixia.com/ma/get-into-yoga-143,Development,,50-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,2,144,,,Free,,,,,,
144,Preventative care,Exercise,Practice yoga,144,Start adding yoga into your routine.,"Find the perfect yoga practice for you, in person or online and start doing one workout every week to help you get all the benefits that yoga has to offer.",Sign me up,Yoga Basics,"https://www.yogabasics.com/practice/yoga-for-beginners/#:~:text=After%20you%E2%80%99ve%20found%20a%20style%2C%20teacher%2C%20and%20yoga,study%20to%20learn%20more%20about%20yoga%20More%20items",Maintenance,,50-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,,,,Free,,weekly,6 months,24,,
145,Preventative care,Exercise,Get into yoga,145,Learn about the benefits of adding yoga into your life.,"Read about the benefits of yoga for everyone. Getting into a regular practice offers so many mental and physical health benefits. Some, like improved flexibility, are clearly evident.",Do,,https://www.halixia.com/ma/get-into-yoga-145,Development,,0-49,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,146,,,Free,,,,,,
146,Preventative care,Exercise,Practice yoga,146,Start adding yoga into your routine.,"Find the perfect yoga practice for you, in person or online and start doing it at least once a week to help you get all the benefits that yoga has to offer.",Sign me up,Yoga Basics,"https://www.yogabasics.com/practice/yoga-for-beginners/#:~:text=After%20you%E2%80%99ve%20found%20a%20style%2C%20teacher%2C%20and%20yoga,study%20to%20learn%20more%20about%20yoga%20More%20items",Maintenance,,0-49,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,,,,Free,,weekly,6 months,24,,
147,Preventative care,Exercise,Chair-based workout,147,Try chair-based exercises to get active.,"Get stronger, improve your flexibility and fitness. Here’s some chair-based exercises you can do at home to stay strong, steady and independent as we age and keep doing the things we enjoy.",Watch,,https://www.halixia.com/ma/chair-based-workout-147,Development,,40-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,148,,,Free,,,,,"Physical Fitness,Get Active",Y
148,Preventative care,Exercise,Sit down to exercise,148,Start doing chair-based workouts.,"Do a regular chair-based workout to help keep you fit, healthy and build muscle strength. Aim to do three workouts a week to build a great habit.",Sign me up,More Life Health,https://www.youtube.com/playlist?list=PLBx06e-L9mh7Nihmoj7bk1q3NkkkY_SR2,Maintenance,,60-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,,,,Free,,3 times a week,2 months,24,,
149,Preventative care,Exercise,Get into running,149,"Try the 'Couch to 5K', and see if you can get the running bug.","Starting running can seem like a scary prospect, but the NHS Couch to 5K and other tools will help you gradually work up towards running 5km in just 9 weeks, through a guided mix of walking and running.",Do,,https://www.halixia.com/ma/get-into-running-149,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,3,150,,,Free,,,,,"Physical Fitness,Running",Y
150,Preventative care,Exercise,Keep running,150,Set yourself a simple running goal.,"A running tracking app is a great way to keep track of your running, helping you to get fit and work towards your goal. Aim to run 5K twice a week to build a great fitness habit.",Sign me up,Strava,https://www.strava.com/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,,,,Free,,2 times a week,3 months,24,,
151,Preventative care,Exercise,Dance,151,Why dancing can enhance your fitness and mood.,"Learn about how you can two-step, boogie and bop your way to improved mood, muscle strength, brain capacity, and a longer and healthier life.",Visit site,,https://www.halixia.com/ma/dance-151,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,3,152,,,Free,,,,,,
152,Preventative care,Exercise,Keep dancing,152,Start dancing your way to fitness.,Try a fun and social dance class to improve your fitness and mood. Going dancing once a week will start a fun fitness habit.,Sign me up,Ceroc,https://www.ceroc.com/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,,,,Paid,,weekly,6 months,24,,
153,Diagnostic,Exercise,Tracking apps,153,Track your walks or runs to see improvements in your health.,"You might already be walking or running regularly, but using tracking apps can help you set goals and stay motivated. You can use them to find new routes or people to support and encourage you.",Do,,https://www.halixia.com/ma/tracking-apps-153,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,2,154,,,Free,,,,,"Physical Fitness,Walking",Y
154,Diagnostic,Exercise,Track your activity,154,Start tracking your walks or runs.,"Sign up to help keep track of your walks or runs, at least twice a week, helping you build a fitness habit you can stick to.",Sign me up,MapMyWalk,https://www.mapmywalk.com/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,,,,Free,,2 times a week,3 months,24,,
155,Preventative care,Exercise,Workout for mobility,155,Try mobility exercises to help increase flexibility.,Read about how a specific mobility workout will help improve your flexibility.,Watch,,https://www.halixia.com/ma/workout-for-mobility-155,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,2,156,,,Free,,,,,"Physical Fitness,Get Active",Y
156,Preventative care,Exercise,Mobility workout,156,Add some mobility exercises into your routine.,Add a mobility workout to your fitness journey to help improve your flexibility. Aim to do three workouts a week for four weeks and you'll feel better and get into exercise habit.,Sign me up,The Lean Machines,https://www.youtube.com/watch?v=nFo5dOhlYUw,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,,,,Free,,3 times a week,2 months,24,,
157,Preventative care,Exercise,Join a gym,157,Find a quality affordable gym near you.,"Finding the right gym is important. Many offer friendly, supportive, and a judgement-free space where you can come in, work out and leave feeling good. No matter your goals, there’s something for everyone.",Do,,https://www.halixia.com/ma/join-a-gym-157,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,3,158,,,Paid,,,,,"Physical Fitness,Get Active",Y
158,Preventative care,Exercise,Go to the gym,158,Start going to the gym.,"Once you've joined a gym, try and visit three times a week to build a healthy exercise habit.",Sign me up,Find Gyms UK,https://findgyms.co.uk/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,,,,Free,,3 times a week,2 months,24,,
159,Preventative care,Exercise,Benefits of Zumba,159,Learn about the benefits of Zumba.,"Find out more about this global dance inspired fitness activity. It’s a great way to dance to great music, with great people, and burn a ton of calories!",Read,,https://www.halixia.com/ma/benefits-of-zumba-159,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,2,160,,,Free,,,,,"Physical Fitness,Zumba",Y
160,Preventative care,Exercise,Go to Zumba,160,Learn the basics of Zumba and find a class near you.,"Find a class near you and take part in the global dance inspired fitness activity three times a week and make dancing to great music, with great people a healthy habit in your life.",Sign me up,Zumba,https://www.zumba.com/en-US/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,,,,Paid,,3 times a week,2 months,24,,
161,Preventative care,Exercise,Find a new activity,161,Activity inspired by women doing their thing their way!,"This Girl Can, celebrates active women and believes that there’s no “right” way to get active. However you jiggle, kick, lift, stretch, or sprint, it’s time to get inspired to get moving how you please!",Do,,https://www.halixia.com/ma/find-a-new-activity-161,Development,,0-99,Female,"Working, Retired, Not-Working",2,Health,3,162,,,Free,,,,,"Physical Fitness,Get Active",Y
162,Preventative care,Exercise,Try a new activity,162,Get active in the way that works for you.,Sign up and find a new activity that you enjoy to help motivate you to get active and add it to a weekly routine to help create a habit.,Sign me up,This Girl Can,https://www.thisgirlcan.co.uk/this-girl-can-classes,Maintenance,,0-99,Female,"Working, Retired, Not-Working",2,Health,1,,,,Paid,,weekly,6 months,24,,
163,Preventative care,Exercise,Football for fitness,163,Football based health programme to support a healthier you.,"Fit Fans has helped football fans to achieve long-term improvement in weight loss, physical activity, diet and general wellbeing with fun football based programmes.",Read,,https://www.halixia.com/ma/football-for-fitness-163,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,3,164,,,Free,,,,,"Physical Fitness,Football",Y
164,Preventative care,Exercise,Football for fitness,164,Take part in football based programme for a healthier you.,Sign up to take part in Fit Fans and join weekly sessions to help you create a habit and build on your fitness journey.,Sign me up,Fit Fans,https://www.efltrust.com/fitfans/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",2,Health,1,,,,Free,,weekly,6 months,24,,
165,Diagnostic,Exercise,How to stay active,165,Get support to be active with a long-term health condition.,Help and support to be active with a long-term health condition. Understanding that everybody is unique and knowing when to be more active is just as important as accepting when you can’t be.,Read,,https://www.halixia.com/ma/how-to-stay-active-165,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,2,166,,,Free,,,,,,
166,Diagnostic,Exercise,Keep active,166,Getting active with a long-term health condition.,Start moving in a way that is best for you and your long-term health condition. Set a goal to exercise weekly and help create a healthy habit.,Sign me up,We Are Undefeatable,https://weareundefeatable.co.uk/getting-started,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",3,Health,1,,,,Free,,weekly,6 months,24,,
167,Basic Health,Exercise,Get active,167,Physical activity is good for your body and mind.,"It's the perfect time to get active. No matter how much you do, physical activity is good for your body and mind. Try these tools, tips and special offers to move more every day.",Visit site,,https://www.halixia.com/ma/get-active-167,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,2,168,,,Free,,,,,"Physical Fitness,Get Active",Y
168,Basic Health,Exercise,Get active,168,Getting physically active for better health and mind.,Find an activity that works for you. Aim to do three workouts every week for a month to help you to stay fit and healthy and build a great habit.,Sign me up,NHS,https://www.nhs.uk/better-health/get-active/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,,,,Free,,3 times a week,2 months,24,,
169,Basic Health,Mind,Sleep Better,169,Tips on how to get a better night's sleep.,"Learn everything you need to know about sleep, including how to fall asleep faster, stay asleep and wake up rested as well as how it can improve your health.",Read,,https://www.halixia.com/ma/sleep-better-169,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,2,170,,,Free,,,,,,
170,Basic Health,Mind,Sleep Better,170,Start getting a better night's sleep.,Make a habit of improving your sleep by following these tips to help form a healthy habit.,Sign me up,Mudita Sleep Better,https://campaign.mudita.com/mudita_sleep_better?msclkid=3b76ddc10d021dd1befdbede43e0e0da,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,,,,Free,,daily,1 month,28,,
171,Basic Health,Nutrition,How to eat well,171,Information and guidance on eating a healthy balanced diet.,"A healthy, balanced diet is an important part of maintaining good health, making sure to eat the right amounts from a wide variety of food can help you achieve and maintain a healthy body weight.",Read,,https://www.halixia.com/ma/how-to-eat-well-171,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,2,172,,,Free,,,,,Nutrition,Y
172,Basic Health,Nutrition,Start eating well,172,Start eating a healthy balanced diet.,"Follow a healthy balanced diet for three months to make it a healthy eating habit. It will help support brain function, promote heart health, regulate blood sugar levels, and much more.",Sign me up,NHS,https://www.nhs.uk/live-well/eat-well/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",1,Health,1,,,,Free,,daily,2 months,56,,
173,Advanced brain & body fitness,Mind,Brain training,173,Exercise your cognitive skills with these programs.,"Discover what your mind can do with activities to help exercise your memory, processing speed, problem solving and much more.",Do,,https://www.halixia.com/ma/brain-training-173,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Health,2,174,,,Free,,,,,Brain Training,Y
174,Advanced brain & body fitness,Mind,Brain training,174,Practice brain training with daily exercises.,Improve your cognitive functioning by doing daily brain puzzles for the next month to help form a brain boosting habit.,Sign me up,Lumosity,https://www.lumosity.com/en/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",4,Health,1,,,,Free,,daily,1 month,28,,
175,Advanced brain & body fitness,Nutrition,Impact of nutrition,175,How nutrition and lifestyle factors can affect your health.,"Read about nutrition and lifestyle factors and how these can affect women's health, to support anyone on their journey towards a healthy, sustainable diet.",Read,,https://www.halixia.com/ma/impact-of-nutrition-175,Development,,0-59,Female,"Working, Retired, Not-Working",4,Health,1,176,,,Free,,,,,,
