Pillar,Category,Level Description,Level,Impact,DDMType,Topic,Ml-MOT Flag,ID/Internal Name,Maintenance Ref,Display Name,Summary,Full Description,Content Type,CTAButtonTitle,Region,Frequency,Periodicity,Total iterations,Action_Provider,CTAURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Website Reference,MA Marketplace,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,END
Health,Mind,Diagnostic,3,1,Development,"Mental Health,Self-care",Y,110,111,Self-care,The importance of self-care.,"With busy modern lives we often tend to put ourselves last, but self-care is crucial in maintaining health. Read these guides to find out why it's important to find time to take care of yourself.","Start engaging in self-care, to help you to relieve the pressures of everyday life and reset yourself to get back to a healthy point where productivity is once again maximised.",Read,UK,,,,,,All,Female,All,https://pubmed.ncbi.nlm.nih.gov/1565600/,,The Couples Center,Content writer,https://www.thecouplescenter.org/why-self-care-is-so-important-for-longevity-and-wellness/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,Gap,Simple Lionheart Life,Content writer,https://simplelionheartlife.com/how-to-slow-down/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,Gap,Me-Time Therapies,Content writer,https://www.me-time-therapy.co.uk/me-time-activities-to-try/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,gap,Lovendu,Company,https://www.awin1.com/cread.php?awinmid=25994&awinaffid=1198638&ued=https%3A%2F%2Flovendu.co.uk%2F,Online,N/A,Paid,Approved,AWIN=25994,,,4.8,https://uk.trustpilot.com/review/lovendu.co.uk,,,
Health,Mind,Diagnostic,3,,Maintenance,,,111,,Self-care in a box,Sign up for a self-care subscription box.,Take some time for yourself with a self-care subscription box to enjoy a well-deserved regular pamper day.,,Sign me up,UK,monthly,1 year,12,BasketsGalore,https://basketsgalore.co.uk/me-time,All,Female,All,https://pubmed.ncbi.nlm.nih.gov/1565600/,,BasketsGalore,Company,https://basketsgalore.co.uk/me-time,Online,N/A,Paid,??,None,,,2.9,https://uk.trustpilot.com/review/basketsgalore.co.uk,N/A,Six monthly,Gap,,,,,,,,,,,,,,,Gap,,,,,,,,,,,,,,,gap,,,,,,,,,,,,,,,
Health,Mind,Diagnostic,3,1,Development,"Mental Health,Self-care",Y,112,113,Self-care,The importance of self-care.,"With busy modern lives we often tend to put ourselves last, but self-care is crucial in maintaining health. Read these guides to find out why it's important to find time to take care of yourself.","Start engaging in self-care, to help you to relieve the pressures of everyday life and reset yourself to get back to a healthy point where productivity is once again maximised.",Read,UK,,,,,,All,"Male, Non-Conforming",All,https://pubmed.ncbi.nlm.nih.gov/1565600/,,The Couples Center,Content writer,https://www.thecouplescenter.org/why-self-care-is-so-important-for-longevity-and-wellness/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Six monthly,Gap,Simple Lionheart Life,Content writer,https://simplelionheartlife.com/how-to-slow-down/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,Gap,Me-Time Therapies,Content writer,https://www.me-time-therapy.co.uk/me-time-activities-to-try/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,gap,Find a Subscription Box,Company,https://www.findasubscriptionbox.co.uk/,Online,N/A,Paid,??,None,,,N/A,N/A,N/A,Quarterly,
Health,Mind,Diagnostic,3,,Maintenance,,,113,,Self-care in a box,Sign up for a self-care subscription box.,Take some time for yourself with a self-care subscription box to enjoy a well-deserved regular pamper day.,,Sign me up,UK,monthly,1 year,12,Find a Subscription Box,https://www.findasubscriptionbox.co.uk/,All,"Male, Non-Conforming",All,https://pubmed.ncbi.nlm.nih.gov/1565600/,,Find a Subscription Box,Company,https://www.findasubscriptionbox.co.uk/,Online,N/A,Paid,??,None,,,N/A,N/A,N/A,Quarterly,Gap,,,,,,,,,,,,,,,Gap,,,,,,,,,,,,,,,gap,,,,,,,,,,,,,,,
Health,Mind,Preventative care,2,1,Development,,,114,115,Healthy ageing habits,Read about research backed healthy habits for a longer life.,Learn about research backed healthy daily habits to help you live a longer life and use these tools to help you schedule those habits.,Start improving your life by adding these small healthy ageing habits to improve your body and mind,Visit site,All,,,,,,All,All,All,https://journals.sagepub.com/doi/abs/10.1177/1559827618785554,,Everyday Health,Content writer,https://www.everydayhealth.com/longevity/everyday-health-and-wellness-habits-linked-with-a-longer-life/,Online,N/A,Free,No,None,,,N/A,https://uk.trustpilot.com/review/everydayhealth.com,N/A,Six monthly,Gap,Vagaro,Company,https://sales.vagaro.co.uk/?utm_source=bing&utm_medium=cpc&utm_campaign=BOFU-UK-Non-Brand&utm_content=appointment-app&utm_term=appointment%20app-p&msclkid=ea92d7dd203513f07c12b427b7e05941,Online,N/A,Paid,??,None,,,N/A,N/A,N/A,Quarterly,Gap,FamilyWall,Company,https://www.familywall.com/,Online,N/A,Free,??,None,,,N/A,N/A,N/A,Quarterly,gap,Dermatica,Company,https://www.awin1.com/cread.php?awinmid=50719&awinaffid=1198638&ued=https%3A%2F%2Fwww.dermatica.com%2F,Online,N/A,Paid,Approved,AWIN= 50719,,,4.5,https://uk.trustpilot.com/review/dermatica.co.uk,N/A,Yearly,
Health,Mind,Preventative care,2,,Maintenance,,,115,,Build good habits,Incorporate healthy ageing habits into your life.,"The best way to build healthy habits into your life is by incorporating these into your calendar, and it'll soon become second nature.",,Sign me up,All,3 times a week,2 months,24,Everyday Health,https://www.everydayhealth.com/longevity/everyday-health-and-wellness-habits-linked-with-a-longer-life/,All,All,All,https://journals.sagepub.com/doi/abs/10.1177/1559827618785554,,Everyday Health,Content writer,https://www.everydayhealth.com/longevity/everyday-health-and-wellness-habits-linked-with-a-longer-life/,Online,N/A,Free,No,None,,,N/A,https://uk.trustpilot.com/review/everydayhealth.com,N/A,Six monthly,Gap,,,,,,,,,,,,,,,Gap,,,,,,,,,,,,,,,gap,,,,,,,,,,,,,,,
Health,Mind,Diagnostic,3,2,Development,,,116,117,Self-affirmations,Benefits of using self-affirmations.,Learn about the benefits of using self-affirmations in your life including reducing health deteriorating stress and anxiety.,"Start working on improving your stress, anxiety, and self-worth with the use of self-affirmations to get all the benefits that come with it.",Read,All,,,,,,All,All,All,http://depts.washington.edu/anesth/edi/_resources-docs/Cohen_annurev-psych-010213-115137.pdf,,Happier Human,Content writer,https://www.happierhuman.com/benefits-affirmations/,Online,N/A,Free,No,None,,,N/A,https://uk.trustpilot.com/review/happierhuman.com,N/A,Quarterly,Gap,Refined by Age,Content writer,https://refinedbyage.com/2019/12/17/7-affirmations-for-positive-aging/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,Gap,BetterUp,Content writer,https://www.betterup.com/blog/positive-affirmations,Online,N/A,Free,No,None,,,2.9,https://uk.trustpilot.com/review/betterup.com,N/A,Quarterly,gap,Lovendu,,https://www.awin1.com/cread.php?awinmid=25994&awinaffid=1198638&ued=https%3A%2F%2Flovendu.co.uk%2F,Online,N/A,Paid,Approved,AWIN=25994,,,4.8,https://uk.trustpilot.com/review/lovendu.co.uk,N/A,Yearly,
Health,Mind,Diagnostic,3,,Maintenance,,,117,,Use self-affirmations,Improve your wellbeing with self-affirmations.,"Start adding self-affirmations into your day to help you feel better about yourself and life, it’ll soon become a positive habit for life.",,Sign me up,All,daily,1 month,28,LifeHack,https://www.lifehack.org/863537/self-affirmation,All,All,All,http://depts.washington.edu/anesth/edi/_resources-docs/Cohen_annurev-psych-010213-115137.pdf,,LifeHack,Content writer,https://www.lifehack.org/863537/self-affirmation,Online,N/A,Free,No,None,,,3.1,https://uk.trustpilot.com/review/lifehack.org,N/A,Quarterly,Gap,,,,,,,,,,,,,,,Gap,,,,,,,,,,,,,,,gap,,,,,,,,,,,,,,,
Health,Mind,Preventative care,2,2,Development,"Mental Health,Brain Training",Y,118,119,Learn about memory,Understanding and improving your memory.,These guides explain the different types of memory and how to improve your learning and memory abilities.,"Brain training turns inactive brain cells into healthy, active ones. The more you use your brain, the better your mental functions become. So, get strengthening your brain daily to start improving your cognitive capabilities.",Listen,All,,,,,,All,All,All,https://psycnet.apa.org/record/2013-30003-001,,Huberman Lab,Company,https://hubermanlab.com/understand-and-improve-memory-using-science-based-tools/,Online,N/A,Free,No,None,,,N/A,https://uk.trustpilot.com/review/hubermanlab.com,N/A,Six monthly,Gap,BrainGymmer,Company,https://www.braingymmer.com/en/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Six Monthly,Gap,A Cognitive Connection,Content writer,https://acognitiveconnection.com/why-brain-training-is-important/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,gap,,,,,,,,,,,,,,,
Health,Mind,Preventative care,2,,Maintenance,,,119,,Improve your memory,Practice brain training with daily exercises.,Improve your cognitive functioning with daily brain puzzles for the next month to help form a brain boosting habit.,,Sign me up,All,daily,1 month,28,Verywell,https://www.verywellmind.com/brain-exercises-to-strengthen-your-mind-2795039,All,All,All,https://psycnet.apa.org/record/2013-30003-001,,Verywell,Content writer,https://www.verywellmind.com/brain-exercises-to-strengthen-your-mind-2795039,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Six monthly,Gap,,,,,,,,,,,,,,,Gap,,,,,,,,,,,,,,,gap,,,,,,,,,,,,,,,
Health,Mind,Diagnostic,3,2,Development,,,120,,Book a trip away,Importance of taking holidays.,Holidays are not just for relaxing; they help us deal with stressors and improve our overall wellbeing. Can’t afford a holiday? You can get the same effect with a day trip!,"Taking holidays can be a great chance to escape your daily routine and see new places, whilst also improving your health and wellbeing.",Visit site,UK,,,,,,60-99,All,All,"https://www.ehps.net/ehp/index.php/contents/article/view/1729, https://journals.lww.com/psychosomaticmedicine/Abstract/2000/09000/Are_Vacations_Good_for_Your_Health__The_9_Year.3.aspx",,Age UK,Charity,https://www.ageuk.org.uk/information-advice/travel-hobbies/accessible-holidays/free-days-out-around-the-uk/,Online,N/A,Free,No,None,,,N/A,https://uk.trustpilot.com/review/www.ageuk.org.uk,N/A,Annual,Gap,Leisure Care,Company,https://www.leisurecare.com/resources/benefits-senior-travel/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Six Monthly,Gap,Tourism for All,Charity,https://www.tourismforall.co.uk/,Online,N/A,Paid,??,None,,,N/A,N/A,N/A,Annual,gap,Silver Travel Advisor,Company,https://silvertraveladvisor.com/,Online,N/A,Paid,??,None,,,4.3,https://uk.trustpilot.com/review/silvertraveladvisor.com,N/A,Six monthly,
Health,Mind,Diagnostic,3,2,Development,,,122,,Book a trip away,Importance of taking holidays.,Holidays are not just for relaxing; they help us deal with stresses and improve our overall wellbeing. Can’t afford a holiday? You can get the same effect with a day trip!,"Taking holidays can be a great chance to escape your daily routine and see new places, whilst also improving your health and wellbeing.",Read,UK,,,,,,0-59,All,All,https://link.springer.com/chapter/10.1007/978-94-007-1375-8_4,,Thrive Global,Content writer,https://community.thriveglobal.com/the-importance-of-taking-a-holiday/,Online,N/A,Free,No,None,,,N/A,https://uk.trustpilot.com/review/thriveglobal.com,N/A,Quarterly,Gap,Bupa,Company,https://www.bupa.co.uk/business/news-and-information/why-holidays-are-good-for-employees-health,Online,N/A,Paid,??,None,,,4.2,https://uk.trustpilot.com/review/bupa.co.uk,N/A,Annual,Gap,Barrhead Travel,Company,https://www.barrheadtravel.co.uk/,Online,N/A,Paid,Yes (nsu),Direct,,,4.9,https://uk.trustpilot.com/review/www.barrheadtravel.co.uk,N/A,Six monthly,gap,Titan Travel,Company,https://www.awin1.com/cread.php?awinmid=4282&awinaffid=1198638&ued=https%3A%2F%2Fwww.titantravel.co.uk%2F,Online,N/A,Paid,Approved,AWIN=4282,,,3.4,https://uk.trustpilot.com/review/www.titantravel.co.uk,N/A,Yearly,
Health,Mind,Diagnostic,3,2,Development,"Mental Health,Mindfulness",Y,124,125,How to be mind kind,Mindfulness and meditation tools for a healthier you.,Mindfulness and meditation tools can help you create life-changing habits to support your mental health. These tools will help you get through tough times and find joy in everyday life.,"It can be easy to rush through life without stopping to notice much. Start paying more attention to the present moment, your own thoughts and feelings, and the world around you to improve your mental wellbeing.",Read/Do,All,,,,,,All,All,All,https://www.health.harvard.edu/blog/can-mindfulness-change-your-brain-202105132455,,NHS,Government department,https://www.nhs.uk/mental-health/self-help/tips-and-support/mindfulness/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/www.england.nhs.uk,N/A,Annual,Gap,BBC,Company,https://www.bbc.co.uk/programmes/m001817f,Online,N/A,Free,No,None,,,1.4,https://uk.trustpilot.com/review/www.bbc.co.uk,N/A,Annual,Gap,Oxford Mindfulness Foundation,Charity,https://www.oxfordmindfulness.org/free-online-mindfulness-course-sessions/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Annual,gap,Complete Unity Yoga,Company,https://www.awin1.com/cread.php?awinmid=29057&awinaffid=1198638&ued=https%3A%2F%2Fcompleteunityyoga.com%2F,Online,N/A,Paid,Approved,AWIN=29057,,,4.8,https://uk.trustpilot.com/review/completeunityyoga.com,N/A,Yearly,
Health,Mind,Diagnostic,3,,Maintenance,,,125,,Practice mindfulness,Practice mindfulness daily.,Try a mindfulness program for a month and it could help you to establish this great practice for life.,,Sign me up,All,daily,1 month,28,NHS,https://www.nhs.uk/mental-health/self-help/tips-and-support/mindfulness/,All,All,All,https://www.health.harvard.edu/blog/can-mindfulness-change-your-brain-202105132455,,NHS,Government department,https://www.nhs.uk/mental-health/self-help/tips-and-support/mindfulness/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/www.england.nhs.uk,N/A,Annual,Gap,,,,,,,,,,,,,,,Gap,,,,,,,,,,,,,,,gap,,,,,,,,,,,,,,,
Health,Mind,Preventative care,2,2,Development,,,126,127,Fire safety,The importance of fire safety in the home.,"Read about the importance of fire safety in your home, to help keep you and your loved ones safe in the event of a fire and how to prevent one in the first place.","The best way to minimise the risk of fire is to take the threat seriously and put in place fire prevention measures. Understanding potential triggers, installing fire alarms, smoke alarms and other devices along with making and sharing fire safety plans are all ways to reduce the risk.",Visit site,UK,,,,,,All,All,All,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0215724,,Surrey Fire,Government Department,https://surreyfire.co.uk/importance-fire-safety/,Online,N/A,Free,No,None,,,4.7,https://uk.trustpilot.com/review/fireservice.co.uk,N/A,Annual,Gap,Fire Services,Government Dept,https://www.fireservice.co.uk/safety/,Online,N/A,Free,No,None,,,4.7,https://uk.trustpilot.com/review/fireservice.co.uk,N/A,Annual,Gap,Ready,Government Dept,https://www.ready.gov/home-fire-escape-plan,Online,N/A,Free,No,None,,,,,,,gap,Risk Assessment Products,Company,https://risk-assessment-products.co.uk/fire-safety-supplies/,Online,N/A,Paid,Pending,AWIN=27477,,,N/A,N/A,N/A,Quarterly,
Health,Mind,Preventative care,2,,Maintenance,,,127,,Regular safety check,Schedule fire safety checks.,Schedule regular fire safety checks to keep you and your loved ones safe. It’s a great habit to get into for peace of mind.,,Sign me up,Uk,every 6 months,2 years,4,UK Fire Service,https://www.fireservice.co.uk/safety/home-fire-safety-check/,All,All,All,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0215724,,UK Fire Service,Government Department,https://www.fireservice.co.uk/safety/home-fire-safety-check/,Online,N/A,Free,No,None,,,4.7,https://uk.trustpilot.com/review/fireservice.co.uk,N/A,Annual,Gap,,,,,,,,,,,,,,,Gap,,,,,,,,,,,,,,,gap,,,,,,,,,,,,,,,
Health,Body,Preventative care,2,2,Development,"Disease Mgt,Diabetes",Y,128,129,Diabetes awareness,All you need to know about diabetes.,Diabetes can be a lifelong condition that causes your blood sugar levels to become too high. There are two types of diabetes and you can reduce the risk of type 2 diabetes with simple lifestyle changes.,"One in ten people over 40 in the UK are now living with type 2 diabetes, that’s 3.8 million people. Almost a million more are living with the condition but don't know they have it. By 2030 it is predicted this number will rise to 5.5 million.",Read,All,,,,,,40-99,All,All,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5297564/,,Diabetes UK,Charity,https://www.diabetes.org.uk/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Annual,Gap,NHS,Government dept,https://www.stopdiabetes.co.uk/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/www.england.nhs.uk,N/A,Annual,Gap,Medical News Today,Company,https://www.medicalnewstoday.com/articles/318277#1-200-calorie-plan,Online,N/A,Free,No,None,,,2,https://uk.trustpilot.com/review/www.medicalnewstoday.com,N/A,6 Monthly,gap,Low Carb Program,Company,https://www.awin1.com/cread.php?awinmid=35337&awinaffid=1198638&ued=https%3A%2F%2Fshop.lowcarbprogram.com%2F,Online,N/A,Paid,Approved,AWIN=35337,,,3.6,https://uk.trustpilot.com/review/lowcarbprogram.com,N/A,Yearly,
